periodname,month,year,organisationunitname,1st ANC Coverage (1st Trimester ),1st ANC coverage (all trimesters),Percentage of 1st ANC visits done in the 1st trimester_ <20years,Folic acid supplementation (%) during ANC visits,Iron supplementation (%) during ANC visits,High-risk pregnancies at 1st ANC (%),Deliveries (%) by all documented facility Staff,Institutional delivery coverage (%),Caesarean Section rate (%),Maternal deaths in facility,Fresh Still Births rate (1000),Macerated still births rate,Stillbirth rate (1000) in health facility,Neonatal deaths  count,Incidence (per 1000 live births) of pre-discharge neonatal sepsis,Maternal Deaths audited,Maternal deaths
periodname,month,year,province,1st ANC Coverage (1st Trimester ),1st ANC coverage (all trimesters),Percentage of 1st ANC visits done in the 1st trimester_ <20years,Folic acid supplementation (%) during ANC visits,Iron supplementation (%) during ANC visits,High-risk pregnancies at 1st ANC (%),Deliveries (%) by all documented facility Staff,Institutional delivery coverage (%),Caesarean Section rate (%),Maternal deaths in facility,Fresh Still Births rate (1000),Macerated still births rate,Stillbirth rate (1000) in health facility,Neonatal deaths  count,Incidence (per 1000 live births) of pre-discharge neonatal sepsis,mat_dths_audit,mat_dths
21-Jun,June,2022,Southern,32.3,100.6,35.7,64.6,60,12.6,100,72.3,5.9,9,4.4,5.1,9.3,26,9.3,8,8
21-Jun,June,2022,Western,25.4,92.1,29.7,59,63,11.2,100,60.4,4.6,7,6.9,4,10.8,3,8,7,7
21-Jul,July,2022,Central,19.3,86,27.6,54.2,57.5,15.3,100,69.6,5.7,5,5.9,9.5,15.2,11,19.8,3,4
21-Jul,July,2022,Copperbelt,23.7,86.4,30.2,57.6,64,26.4,100,74.3,12.5,10,3.6,18.2,21.3,6,29.6,7,10
21-Jul,July,2022,Eastern,31.5,84.3,43.5,57.7,57.2,12,100,87.3,10.2,6,5.5,8.2,13.5,3,3.8,2,6
21-Jul,July,2022,Luapula,42.7,91,47.4,57.1,58,12,100,81.3,7.3,1,3.3,5.9,9.1,1,14.2,,1
21-Jul,July,2022,Lusaka,17.1,67.2,28.4,34,34.6,6.1,100,70.8,12.4,18,6.9,17,23.4,3,4.3,18,18
21-Jul,July,2022,Muchinga,29.7,86.6,42.2,66,70.4,18.9,100,63.6,7.8,3,8,5.3,13.1,2,16.4,1,3
21-Jul,July,2022,Northern,37.7,88.5,50.6,72.7,76.4,9.8,100,75.4,7.3,4,6.9,5.3,12.1,3,8.7,4,4
21-Jul,July,2022,Northwestern,27.4,80.9,40.1,58.1,66.7,10.3,100,60.9,6.6,1,9.7,13.6,22.7,2,14.5,,1
21-Jul,July,2022,Southern,25.9,83.4,33.4,73.5,72,14.4,100,71.2,6.1,5,6.5,6.7,13,35,8.7,3,5
21-Jul,July,2022,Western,22.4,76.5,32.5,60.6,66.6,12.9,100,60.3,4.4,4,4.2,6.7,10.8,5,7.8,4,4
21-Aug,August,2022,Central,21.9,98.2,26.9,42.1,44,12.4,100,71.5,5.6,8,5.2,9.7,14.7,11,12.6,3,8
21-Aug,August,2022,Copperbelt,27.8,99,28.9,45.8,52.7,21.7,100,78.4,16.6,8,3.2,13.7,16.6,3,17.2,8,8
21-Aug,August,2022,Eastern,33.9,98.4,42.1,52.9,51.3,11.4,100,94.2,8.2,8,4.6,7.1,11.6,6,6,5,8
21-Aug,August,2022,Luapula,44.7,94.8,48.2,40.9,44.7,12.6,100,85.7,6.3,,4.8,5,9.7,2,15.7,,
21-Aug,August,2022,Lusaka,24.4,86,25.3,39.8,26.8,7.3,100,68.3,14.5,19,6.1,15.1,20.8,1,6.5,18,19
21-Aug,August,2022,Muchinga,30.5,84.8,42.9,63.5,66.1,21.1,100,75.7,7.6,3,10.4,4.5,14.7,8,12.7,2,3
21-Aug,August,2022,Northern,41.9,104.4,46.2,56.6,58.2,9.6,100,81.6,7.7,6,8,6.3,14.1,5,7.8,5,6
21-Aug,August,2022,Northwestern,32.5,94.1,43.7,53.9,62.2,12.5,100,67.2,6.4,2,9,8.3,17.1,8,15.9,1,2
21-Aug,August,2022,Southern,29.8,97.9,33.4,61.3,63,16.3,100,73.2,5.5,6,6.7,6,12.5,10,9.4,15,6
21-Aug,August,2022,Western,22.4,84.1,28.4,55.7,60,11.9,100,64.9,3.7,2,6.5,8.5,14.8,13,21.8,2,2
21-Sep,September,2022,Central,25,100.9,30.5,42.9,49.7,13,100,75.7,5.9,9,7.2,7.8,14.8,9,20.6,5,6
21-Sep,September,2022,Copperbelt,30.3,107,30.7,36.4,40.9,21.1,100,77.6,13.9,15,5.6,18.2,23.3,13,37.6,6,6
21-Sep,September,2022,Eastern,35.8,98.5,45,66.7,60.5,12.1,100,97.9,9,5,6.1,5.8,11.7,7,8.9,4,5
21-Sep,September,2022,Luapula,46.6,103.9,44.6,51,50.1,12.1,100,92.1,6.4,2,3.4,4.4,7.7,2,20.6,2,2
21-Sep,September,2022,Lusaka,28.5,96.2,32.6,34.7,34,7.2,100,73.5,14.1,13,6.4,13,19,4,5.5,12,12
21-Sep,September,2022,Muchinga,35.7,96.4,41.4,76.1,74.5,18.2,100,83.8,7.4,5,7.1,4.1,11.1,1,16.3,4,5
21-Sep,September,2022,Northern,43.9,112.8,45.3,48.9,52.1,11,100,87.8,8.6,10,7.3,5.9,13,13,13.6,8,9
21-Sep,September,2022,Northwestern,34.4,98.3,43.6,38.6,43.4,10.9,100,66.4,6.6,2,6.9,5,11.8,8,23.1,2,2
21-Sep,September,2022,Southern,31.6,107.8,33.9,54.3,52.1,15.4,100,80.4,5.3,6,3.7,6.8,10.4,7,11.5,5,6
21-Sep,September,2022,Western,25.6,93.3,32.9,44.6,46.7,11.4,100,65.6,4.6,7,6.6,9.9,16.3,6,12.6,7,7
21-Oct,October,2022,Central,23.6,92.1,32.4,36.3,33.9,12.7,100,65.2,6.1,6,4.9,10.2,14.8,13,39.6,3,6
21-Oct,October,2022,Copperbelt,29.1,93.2,33.1,40.8,43.9,20.5,100,75.4,13.3,3,3.2,13,15.9,10,30.6,3,3
21-Oct,October,2022,Eastern,31,83.5,43.7,60.7,55.3,12,100,84.8,9.8,2,6.8,7.9,14.4,4,18.2,2,2
21-Oct,October,2022,Luapula,44.2,96.6,45.5,57,57.8,11.4,100,84.2,6.6,2,5.3,4.5,9.7,2,27.7,2,2
21-Oct,October,2022,Lusaka,23.6,73.9,27.4,39.9,35.4,7,100,50.2,18.8,13,7.8,17.1,24.3,,16.7,13,13
21-Oct,October,2022,Muchinga,28.8,80.1,39.6,62.5,62,20.3,100,71.2,8.3,1,8.6,7.6,16,10,14.4,1,1
21-Oct,October,2022,Northern,42.4,103.4,44.5,33.9,41.5,9.8,100,83.7,8.1,8,9.2,9.6,18.4,4,13.1,8,8
21-Oct,October,2022,Northwestern,29.2,80.1,40.2,33.6,37.6,11,100,63.6,5.7,2,6.6,8.6,15,6,16.8,2,2
21-Oct,October,2022,Southern,26.5,81.9,33.3,64.4,63.5,17.6,100,80.1,4.8,6,4.8,7,11.7,16,13.6,6,6
21-Oct,October,2022,Western,22.8,80.7,29.1,44.8,46.4,14.1,100,62,3.9,4,5.2,9,14,8,21.1,5,4
21-Nov,November,2022,Central,29.4,113.5,30.6,39.3,36.5,14.3,100,65.3,7,6,5.6,10.5,15.8,18,39.8,5,6
21-Nov,November,2022,Copperbelt,32,111.8,28.7,27.3,28.6,22.7,100,77,13.9,11,4,13.4,17.1,4,36.8,9,11
21-Nov,November,2022,Eastern,41.9,111.6,43.3,51.8,42.3,10.2,100,79.5,10,11,7,7.2,14,7,26.2,11,11
21-Nov,November,2022,Luapula,47.1,105.3,45.9,44.6,43.4,31.8,100,79.4,6.1,3,4.8,4.3,9,1,26.1,1,3
21-Nov,November,2022,Lusaka,24,95.7,25.4,37.6,34.4,8,100,66,14.1,15,6.7,14.6,20.8,3,13.3,12,15
21-Nov,November,2022,Muchinga,32.8,93,39.6,52.5,57.2,18.5,100,70.3,7.6,3,6.1,6.9,12.8,5,16.2,9,3
21-Nov,November,2022,Northern,51.9,128.8,46.2,30.3,28.9,10.2,100,77.9,8.9,8,8,9.6,17.3,17,17.4,8,8
21-Nov,November,2022,Northwestern,33.1,107,32.1,27.9,30.3,11.3,100,69.7,8,1,7.6,14.1,21.2,10,27.5,,1
21-Nov,November,2022,Southern,32.9,102.7,36.1,60.9,59.5,15.5,100,72,4.7,9,6.7,6.8,13.3,22,25.2,6,9
21-Nov,November,2022,Western,29.6,94,35,43.4,41.4,11.7,100,56.2,3.9,2,6.6,6.6,13.1,1,14.5,1,2
21-Dec,December,2022,Central,29.4,127,35.1,30,32.2,10.5,100,64.8,5.4,5,5.8,10,15.5,23,43.3,5,5
21-Dec,December,2022,Copperbelt,29.7,97.1,31.1,21.9,22.1,29.2,100,74.8,12.6,7,3.6,11.7,15.1,1,40.6,7,7
21-Dec,December,2022,Eastern,39.2,90,50.3,46.1,34.4,10.8,100,80.4,10.5,6,4.9,4.1,8.9,15,21.9,3,6
21-Dec,December,2022,Luapula,44,93,46.8,46.2,45.6,12.2,100,78.7,6.1,3,2.6,5.2,7.7,,28.5,1,3
21-Dec,December,2022,Lusaka,23.2,84.2,26.9,32.3,25.3,7,100,72.7,13.9,17,5.3,11.8,16.8,1,5.9,13,17
21-Dec,December,2022,Muchinga,32.4,80.7,46.5,41.1,45.3,21.6,100,70.5,6.1,2,8.8,10,18.4,7,22.3,7,2
21-Dec,December,2022,Northern,48,110.7,44.5,25.8,27.7,10.7,100,78.7,8.6,3,6.4,4.6,10.8,17,12.8,3,3
21-Dec,December,2022,Northwestern,38.9,105.9,41,26.5,28.2,19.4,100,69.4,5.9,4,5.7,12.5,18,7,26.2,5,4
21-Dec,December,2022,Southern,27.7,81.6,35.5,58.1,53.6,16.4,100,78.7,6,12,5.6,6.9,12.3,31,21.9,14,12
21-Dec,December,2022,Western,28.5,87,36.3,45.2,43.7,11.8,100,58.8,5.2,4,8.4,6.6,14.7,3,6.2,4,4
2021,,2021,Central,24.7,102.3,29.9,43.1,43.3,12.2,100,66.8,6.2,74,5.4,9.6,14.8,188,24.2,58,69
2021,,2021,Copperbelt,29.6,99.7,30.6,43,45.7,23.2,100,76.3,13.6,113,3.7,13.3,16.7,95,23.7,97,104
2021,,2021,Eastern,37.5,98.3,44.2,51.6,45.3,10.9,100,84,9.2,58,5.3,6.4,11.6,97,13.2,42,58
2021,,2021,Luapula,47.8,101,48.8,50.5,54,13.7,100,82.6,6.3,23,4,5,8.9,19,21.8,16,23
2021,,2021,Lusaka,22.4,83.2,27.5,34.8,32.1,6.4,100,67,14.5,191,5.7,14.6,19.9,19,7.8,189,190
2021,,2021,Muchinga,37.1,95.5,43.8,64.3,63.3,18.8,100,68.7,7.2,43,6.3,6,12.1,61,15.5,37,43
2021,,2021,Northern,44.7,106.1,47.1,59,59.2,9.5,100,78.4,7.9,74,7.3,6.9,14,101,11.5,74,73
2021,,2021,Northwestern,34.6,98.2,39.7,42.6,47.4,11.8,100,66.4,6.3,35,7.4,10,17.1,119,21.2,25,35
2021,,2021,Southern,30,92.8,35.5,62.3,58,15.9,100,76,5.5,76,5.5,6.3,11.6,228,14,100,75
2021,,2021,Western,27.4,91.7,32.1,47.5,51.3,12.2,100,62.1,4.3,46,6.7,6.5,13,79,13.9,45,46
